`artistID`|`artistName`|`artistNo`|`trackID`
`6oFs3qk4VepIVFdoD4jmsy`|`PVRIS`|0|`1WasQIPpSRf6osP8UgYfim`
`5he5w2lnU9x7JFhnwcekXX`|`Skrillex`|0|`7hU38LHqMSPFrvoqADFJp4`
`1YYJxpOXYk1z1WtqdeLMkn`|`Habstrakt`|1|`7hU38LHqMSPFrvoqADFJp4`
`4sTQVOfp9vEMCemLw50sbu`|`Galantis`|0|`3caMfJGFp53NAH2TuigdNj`
`5ivCbtrcD5N4rD337xIb2z`|`MisterWives`|0|`4yweVeiVhklj00DRKcQi9z`
`2ZRQcIgzPCVaT9XKhXZIzh`|`Gryffin`|0|`0Ev562zA4pmUsBqjxsxxdx`
`45eNHdiiabvmbp4erw26rg`|`ILLENIUM`|1|`0Ev562zA4pmUsBqjxsxxdx`
`6Dd3NScHWwnW6obMFbl1BH`|`Daya`|2|`0Ev562zA4pmUsBqjxsxxdx`
`2tLI4kPsmsxQQv6zr2jbgt`|`Mickey Valen`|0|`4TcSvASmTs7HICEY6is1iX`
`23GMmLeVwj1yKMo1WGEwIj`|`Feli Ferraro`|1|`4TcSvASmTs7HICEY6is1iX`
`45eNHdiiabvmbp4erw26rg`|`ILLENIUM`|0|`3t3oNm7M0HXf7ILqA7vCTP`
`4IFgewC2urR62Fwt7uAU03`|`Kerli`|1|`3t3oNm7M0HXf7ILqA7vCTP`
`0jNDKefhfSbLR9sFvcPLHo`|`San Holo`|0|`74Ru27B7Jx8mBt5MGvGLLv`
`4O15NlyKLIASxsJ0PrXPfz`|`Lil Uzi Vert`|0|`2eMwDehkIC1j68U6FA3Eiq`
`4xRYI6VqpkE3UwrDrAZL8L`|`Logic`|0|`5tz69p7tJuGPeMGwNTxYuV`
`2wUjUUtkb5lvLKcGKsKqsR`|`Alessia Cara`|1|`5tz69p7tJuGPeMGwNTxYuV`
`6LuN9FCkKOj5PcnpouEgny`|`Khalid`|2|`5tz69p7tJuGPeMGwNTxYuV`
`2ht3wxeT69CzyKFChNnNAB`|`Big Boi`|0|`0rU1aBF8cQ8xS3H25qWuMz`
`2N4EYkIlG1kv25g6Wv8LGI`|`Killer Mike`|1|`0rU1aBF8cQ8xS3H25qWuMz`
`4yBK75WVCQXej1p04GWqxH`|`Jeezy`|2|`0rU1aBF8cQ8xS3H25qWuMz`
`3HSUGMOYBmtzgGkFKIexLt`|`JLuv Official`|0|`4iFTKFNULHYkZA4N9Oc8JV`
`26VFTg2z8YR0cCuwLzESi2`|`Halsey`|0|`4C5ewaZ05vyXM23jFJdwd4`
`3J0BpFVUc9LeOIVeN5uNhU`|`Lauren Jauregui`|1|`4C5ewaZ05vyXM23jFJdwd4`
`4YXycRbyyAE0wozTk7QMEq`|`Matoma`|0|`45OfR7ugJMgbFDuNOVpIq3`
`5NDMothbpdpq2xHqSjrrWn`|`Faith Evans`|1|`45OfR7ugJMgbFDuNOVpIq3`
`5me0Irg2ANcsgc93uaYrpb`|`The Notorious B.I.G.`|2|`45OfR7ugJMgbFDuNOVpIq3`
`7hJcb9fa4alzcOq3EaNPoG`|`Snoop Dogg`|3|`45OfR7ugJMgbFDuNOVpIq3`
`7DMveApC7UnC2NPfPvlHSU`|`Cheat Codes`|0|`7q8jJ1XZEliBakZSUMFde5`
`0CEK8AzyeD5ZUdUloB6yQV`|`CADE`|1|`7q8jJ1XZEliBakZSUMFde5`
`738wLrAtLtCtFOLvQBXOXp`|`Major Lazer`|0|`3t3jU09SpgdtvSWX4VlDtQ`
`0Y5tJX1MQlPlqiwlOH1tJY`|`Travis Scott`|1|`3t3jU09SpgdtvSWX4VlDtQ`
`4nDoRrQiYLoBzwC5BhVJzF`|`Camila Cabello`|2|`3t3jU09SpgdtvSWX4VlDtQ`
`0VRj0yCOv2FXJNP47XQnx5`|`Quavo`|3|`3t3jU09SpgdtvSWX4VlDtQ`
`4lDXfIznmGueBgTjI3qGUX`|`Møme`|0|`4uNDs2TBsv2KX9b4LIxfdt`
`6PwHyGcUfjwdjT9cdsaVWT`|`Merryn Jeann`|1|`4uNDs2TBsv2KX9b4LIxfdt`
`4FLA7MpTdP5nNUQfiaA3WM`|`ARY`|0|`4y6sUWPw0XzCb8RodaNSPY`
`0Cd6nHYwecCNM1sVEXKlYr`|`Krewella`|0|`7K0pKyU2oYG8TJHXXyEHGy`
`3JhNCzhSMTxs9WLGJJxWOY`|`Macklemore`|0|`3HVr6jTVwBHBa2flM0eURR`
`4utLUGcTvOJFr6aqIJtYWV`|`Skylar Grey`|1|`3HVr6jTVwBHBa2flM0eURR`
`3oKRxpszQKUjjaHz388fVA`|`Parcels`|0|`1kgws2l8gsvDhtsVyzWbu9`
`2qxJFvFYMEDqd7ui6kSAcq`|`Zedd`|0|`2syQ0f4SAQdzvlAewPl1DJ`
`5pUo3fmmHT8bhCyHE52hA6`|`Liam Payne`|1|`2syQ0f4SAQdzvlAewPl1DJ`
`1LOB7jTeEV14pHai6EXSzF`|`Cash Cash`|0|`1839RWzPRZCVgvamu4sHSN`
`6mU8ucezzms5I2kNH6HNlu`|`Conor Maynard`|1|`1839RWzPRZCVgvamu4sHSN`
`69VkQLf4DH7GJ68BCDOPKL`|`Campsite Dream`|0|`5lIat5pyge2yKkV20FlgQ7`
`6BrvowZBreEkXzJQMpL174`|`Hardwell`|0|`6xQvK7tPkhBzLdcCdJ0N73`
`6kI0ZZ0yjJ3Bf5JjEgUJLC`|`Alexander Tidebrink`|1|`6xQvK7tPkhBzLdcCdJ0N73`
`7CajNmpbOovFoOoasH2HaY`|`Calvin Harris`|0|`6BaCraQ9xeLYg4Sb9TBT2X`
`2RdwBSPQiwcmiDo9kixcl8`|`Pharrell Williams`|1|`6BaCraQ9xeLYg4Sb9TBT2X`
`6jJ0s89eD6GaHleKKya26X`|`Katy Perry`|2|`6BaCraQ9xeLYg4Sb9TBT2X`
`0c173mlxpT3dSFRgMO8XPh`|`Big Sean`|3|`6BaCraQ9xeLYg4Sb9TBT2X`
`4kI8Ie27vjvonwaB2ePh8T`|`Portugal. The Man`|0|`7FESgYLcOufHqKlwrvJN60`
`4AKwRarlmsUlLjIwt38NLw`|`Ofenbach`|0|`2KklXplRtxMsBYo474Es0w`
`2miwbh5mlsA2ihnFbe15Z7`|`Simon From Deep Divas`|0|`1WeJVNCp2sWDnnXpAJZnDo`
`26T6b8maqEVltcmE4kSDUl`|`Corona`|1|`1WeJVNCp2sWDnnXpAJZnDo`
`7FY5V3XMwlNBPitEjXowHQ`|`Darius Rucker`|0|`3xdjjKMcMOFgo1eQrfbogM`
`1vCWHaC5f2uS3yhpwWbIA6`|`Avicii`|0|`6WbADFqMvR8N5u0BvtsWQE`
`5JYo7gm2dkyLLlWHjxS7Dy`|`Sandro Cavazza`|1|`6WbADFqMvR8N5u0BvtsWQE`
`3GjVVVcFmUgEJEAAsbGkf4`|`Trampled by Turtles`|0|`1QesQ27kCWYTYuXJi8SApS`
`3GjVVVcFmUgEJEAAsbGkf4`|`Trampled by Turtles`|0|`2dJrn376fJPUCj1f4txnRQ`
`4Z8W4fKeB5YxbusRsdQVPb`|`Radiohead`|0|`6b2oQwSGFkzsMtQruIWm2p`
`73sIBHcqh3Z3NyqHKZ7FOL`|`Childish Gambino`|0|`3kxfsdsCpFgN412fpnW85Y`
`5he5w2lnU9x7JFhnwcekXX`|`Skrillex`|0|`57p8CBvPOxrvyCbn6ttl5r`
`3JXpwnHbLvXxY99EuXqFPX`|`Poo Bear`|1|`57p8CBvPOxrvyCbn6ttl5r`
`1LOB7jTeEV14pHai6EXSzF`|`Cash Cash`|0|`0cQdRncPu2fkaVc6lT0fCY`
`6mU8ucezzms5I2kNH6HNlu`|`Conor Maynard`|1|`0cQdRncPu2fkaVc6lT0fCY`
`5JHw3zW4kgwIZlh33geR1K`|`Sagan`|2|`0cQdRncPu2fkaVc6lT0fCY`
`45eNHdiiabvmbp4erw26rg`|`ILLENIUM`|0|`6vWk151OrbHfKe4D6Z6tdV`
`0kErUwb6xgWfkdn0RyZWHZ`|`Annika Wells`|1|`6vWk151OrbHfKe4D6Z6tdV`
`06HL4z0CvFAxyc27GXpf02`|`Taylor Swift`|0|`6uFsE1JgZ20EXyU0JQZbUR`
`5CCwRZC6euC8Odo6y9X8jr`|`Rita Ora`|0|`4c2W3VKsOFoIg2SFaO6DY5`
`6S2OmqARrzebs0tKUEyXyp`|`Demi Lovato`|0|`25C5CowdsfXld2jJanbiex`
`06HL4z0CvFAxyc27GXpf02`|`Taylor Swift`|0|`7zgqtptZvhf8GEmdsM2vp2`
`1HY2Jd0NmPuamShAr6KMms`|`Lady Gaga`|0|`7dZ1Odmx9jWIweQSatnRqo`
`246dkjvS1zLTtiykXe5h60`|`Post Malone`|0|`1OmcAT5Y8eg5bUPv9qJT4R`
`1URnnhqYAYcrqrcwql10ft`|`21 Savage`|1|`1OmcAT5Y8eg5bUPv9qJT4R`
`3JhNCzhSMTxs9WLGJJxWOY`|`Macklemore`|0|`3vGmmVqWM33agHxB19EcAi`
`6LqNN22kT3074XbTVUrhzX`|`Kesha`|1|`3vGmmVqWM33agHxB19EcAi`
`5he5w2lnU9x7JFhnwcekXX`|`Skrillex`|0|`65ES1qwOB577ZnTkizMXJJ`
`2YZyLoL8N0Wb9xBt1NhZWg`|`Kendrick Lamar`|1|`65ES1qwOB577ZnTkizMXJJ`
`64KEffDW9EtZ1y2vBYgq8T`|`Marshmello`|0|`12mGwph2YzDIlChtq3EdXP`
`3VLf4DlBTN2ZRwygS3TNti`|`The Academic`|0|`6mz4ovKdmCZaxCh7kW596H`
`7oPftvlwr6VrsViSDV7fJY`|`Green Day`|0|`6L89mwZXSOwYl76YXfX13s`
`2ZRQcIgzPCVaT9XKhXZIzh`|`Gryffin`|0|`0W363qrIc4GwuwOqa0WAEO`
`1Q9KyQkc3vODeRt9OfItxl`|`Katie Pearlman`|1|`0W363qrIc4GwuwOqa0WAEO`
`7oPftvlwr6VrsViSDV7fJY`|`Green Day`|0|`58KPPL1AdLHMvR2O2PZejr`
`74XFHRwlV6OrjEM0A2NCMF`|`Paramore`|0|`6SpLc7EXZIPpy0sVko0aoU`
